query-id	corpus-id	score
kt-228	doc-7680	2
kt-229	doc-7708	2
kt-230	doc-7737	2
kt-231	doc-7785	2
kt-232	doc-7790	2
kt-233	doc-7918	2
kt-234	doc-7925	2
kt-235	doc-7943	2
kt-236	doc-7959	2
kt-237	doc-8017	2
kt-238	doc-8039	2
kt-239	doc-8118	2
kt-240	doc-8177	2
kt-241	doc-8188	2
kt-242	doc-8238	2
kt-243	doc-8244	2
kt-244	doc-8246	2
kt-245	doc-8251	2
kt-246	doc-8329	2
kt-247	doc-8372	2
kt-248	doc-8388	2
kt-249	doc-8391	2
kt-250	doc-8398	2
kt-251	doc-8399	2
kt-252	doc-8416	2
kt-253	doc-8442	2
kt-254	doc-8443	2
kt-255	doc-8503	2
kt-256	doc-8507	2
kt-257	doc-8670	2
kt-258	doc-8713	2
kt-259	doc-8746	2
kt-260	doc-8766	2
kt-261	doc-8807	2
kt-262	doc-8815	2
kt-263	doc-8850	2
kt-264	doc-8892	2
kt-265	doc-8919	2
kt-266	doc-8966	2
kt-267	doc-8975	2
kt-268	doc-8998	2
kt-269	doc-9071	2
kt-270	doc-9093	2
kt-271	doc-9107	2
kt-272	doc-9142	2
kt-273	doc-9193	2
kt-274	doc-9299	2
kt-275	doc-9307	2
kt-276	doc-9321	2
kt-277	doc-9337	2
kt-278	doc-9343	2
kt-279	doc-9362	2
kt-280	doc-9376	2
kt-281	doc-9457	2
kt-282	doc-9507	2
kt-283	doc-9548	2
kt-284	doc-9550	2
kt-285	doc-9573	2
kt-286	doc-9609	2
kt-287	doc-9613	2
kt-288	doc-9645	2
kt-289	doc-9717	2
kt-290	doc-9776	2
kt-291	doc-9800	2
kt-292	doc-9875	2
kt-293	doc-9900	2
kt-294	doc-9912	2
kt-295	doc-9954	2
kt-296	doc-9957	2
kt-297	doc-9961	2
kt-298	doc-10005	2
kt-299	doc-10028	2
kt-300	doc-10031	2
